dataset,model,clear_day_mIoU,normal_mIoU,adverse_mIoU,overall_mIoU,domain_gap
bdd10k,deeplabv3plus_r50,48.99514563332455,50.56492941082014,43.23187153388174,45.67622415952787,7.333057876938405
bdd10k,pspnet_r50,54.98705667302376,59.1682262026938,52.20851195186658,54.52841670214232,6.9597142508272185
bdd10k,segformer_mit-b5,63.24601757794016,65.55180086751716,58.75236286059605,61.01884219623641,6.799438006921108
idd-aw,deeplabv3plus_r50,72.95551923207493,73.741187263341,64.28736070256153,68.34109440779606,9.453826560779476
idd-aw,pspnet_r50,76.89919595155025,76.45326870713754,66.98615662193863,71.40968574942157,9.467112085198906
idd-aw,segformer_mit-b5,81.76881430193603,82.0987783406068,77.99726060097574,81.01691284388411,4.101517739631063
mapillaryvistas,deeplabv3plus_r50,34.8308419237375,38.38207052150722,37.61473934234265,37.92167181400848,0.7673311791645645
mapillaryvistas,pspnet_r50,29.39440973128576,28.967809074654607,33.78369750881461,31.857342135150606,-4.815888434160005
mapillaryvistas,segformer_mit-b5,66.91729781034014,66.58965144135621,62.17038946619692,63.93809425626064,4.419261975159287
outside15k,deeplabv3plus_r50,57.824628833559146,56.5309668767687,40.54170189494604,45.87145688888693,15.989264981822664
outside15k,pspnet_r50,65.95518327911938,64.85041473275358,51.524818552433146,55.96668394587329,13.325596180320431
outside15k,segformer_mit-b5,76.35044078987909,75.96123396984419,66.73718782378427,69.81186987247092,9.22404614605992
