strategy,clear_day,foggy,night,rainy,snowy,overall_mIoU,adverse_avg,domain_gap,n_samples
gen_cycleGAN,33.99692158672486,30.884219831767698,11.064528404030401,27.805206528943586,26.496042374948033,26.049383745282917,24.062499284922428,9.934422301802432,9
gen_step1x_v1p2,34.96999405252119,30.376782762597895,11.097963479727321,27.79160632998142,25.59718530812652,25.966706386590868,23.715884470108286,11.254109582412902,10
std_photometric_distort,34.16790442096304,30.646171732620633,11.248456072390605,27.553606636730972,26.008729173757523,25.924973607292554,23.864240903874936,10.303663517088104,10
gen_step1x_new,34.10681386944475,30.699088465417155,10.758925493280016,27.59246245211825,26.07771687599547,25.84700143125113,23.782048321702725,10.324765547742025,10
std_cutmix,34.13040885359062,30.295072396498632,11.359529975194002,27.54201761523032,25.484247085069384,25.762255185116594,23.670216767998085,10.460192085592539,10
gen_flux_kontext,34.47188037119352,30.43606237363956,10.570213736189581,27.55328003761094,25.431290831435824,25.692545470013886,23.497711744718977,10.974168626474544,10
std_autoaugment,34.01959360154784,30.188547847241278,10.849705808491574,27.724686317351143,25.674425778746304,25.69139187067563,23.609341437957575,10.410252163590265,10
gen_stargan_v2,34.148140859478474,30.270427114957073,10.384077325841323,27.62756405107292,25.912087029190577,25.668459276108074,23.548538880265472,10.599601979213002,10
gen_UniControl,34.53851794327971,30.023820070133233,10.465715636171916,27.442299531796657,25.806123201529164,25.655295276582137,23.43448960990774,11.104028333371968,10
std_randaugment,33.72324087767022,30.019055628917094,10.507609285745714,27.786336829066364,25.743126264602246,25.555873777200325,23.514032002082857,10.209208875587365,10
gen_TSIT,34.09699378658302,30.07007670748081,10.434632194746062,27.346685105707984,25.673966278287388,25.524470814561056,23.381340071555563,10.715653715027457,10
std_mixup,33.54735920111126,29.97447495971225,10.519959321155126,27.246974680449444,25.735352631629308,25.40482415881148,23.369190398236533,10.17816880287473,10
gen_cyclediffusion,32.97029459576052,29.95297410144903,11.055819574529826,26.95009643733527,24.826954825935157,25.15122790700196,23.196461234812322,9.773833360948199,8
gen_albumentations_weather,33.09389765392507,29.367399714739133,10.158757456558105,27.016145389034055,25.35745429107974,24.998730901067223,22.97493921285276,10.118958441072309,8
gen_automold,32.93036834814069,29.229051737326202,10.686411970732367,26.907204226897765,24.89205459715958,24.92901817605132,22.928680633028975,10.001687715111714,8
gen_Img2Img,30.96430659989908,27.758648018033696,10.757182307241493,26.049969173142767,24.513590496644586,24.008739318992323,22.269847498765635,8.694459101133443,6
gen_Attribute_Hallucination,30.45929766862001,28.349908696190326,10.604373619061127,26.102471317161502,24.497989282292085,24.00280811666501,22.388685728676258,8.070611939943753,6
gen_VisualCloze,30.821635844978108,27.767047155397663,11.079576830495517,25.719804594247865,24.187356449865632,23.915084174996956,22.18844625750167,8.633189587476437,6
gen_Weather_Effect_Generator,30.680129948810134,27.635169645048716,10.271720707643313,26.010300761916966,24.51360746565271,23.82218570581437,22.107699645065427,8.572430303744706,6
gen_IP2P,30.709585331735028,27.45130885255107,10.491995750488593,25.73148542025776,24.29563371249367,23.736001813505222,21.99260593394777,8.716979397787256,6
gen_SUSTechGAN,30.962605372795934,27.38853286833933,10.507522841223162,25.635587473154803,24.083994407982757,23.715648592699196,21.90390939767501,9.058695975120923,6
gen_Qwen_Image_Edit,30.27197498548058,27.645816233322478,10.438942699727267,25.811457778813335,24.27397287215011,23.688432913898755,22.042547396003297,8.229427589477282,6
gen_CUT,30.29933000995705,27.207984987558223,11.012041882999137,25.244865835825387,23.727786389412376,23.49840182115043,21.798169773948782,8.501160236008268,5
gen_LANIT,29.71510777733285,27.25447851182962,11.147285252099378,25.46546025144582,23.875023936396534,23.49147114582084,21.935561987942837,7.7795457893900135,6
gen_augmenters,29.519168794434112,27.592195794917192,10.188113227451794,25.718961168378172,24.408208865983955,23.48532957023304,21.976869764182776,7.5422990302513355,6
gen_CNetSeg,30.4785969668943,26.64190213898894,10.481184946690933,25.465567949336663,23.780390340306038,23.369528468443374,21.592261343830643,8.886335623063658,6
baseline,30.876753230152968,27.07092090297586,9.056623430343159,25.684937119593155,24.103296100655175,23.358506156744063,21.478944388391838,9.39780884176113,9
