Strategy,Type,clear_day,foggy,night,rainy,snowy,Normal Avg,Adverse Avg,Gap
baseline,Baseline,-,57.86,27.15,45.32,44.03,-,43.59,-
gen_Attribute_Hallucination,Generative,-,57.77,27.61,45.13,44.32,-,43.71,-
gen_CNetSeg,Generative,-,56.97,26.16,46.27,44.28,-,43.42,-
gen_CUT,Generative,-,57.72,27.50,45.35,43.53,-,43.53,-
gen_IP2P,Generative,-,57.22,26.40,44.49,42.88,-,42.75,-
gen_Img2Img,Generative,-,57.55,26.81,46.29,45.34,-,44.00,-
gen_Qwen_Image_Edit,Generative,-,57.49,27.43,45.87,44.10,-,43.72,-
gen_SUSTechGAN,Generative,-,56.70,27.28,44.85,43.93,-,43.19,-
gen_TSIT,Generative,-,58.01,26.20,44.67,44.06,-,43.24,-
gen_UniControl,Generative,-,57.90,26.67,45.21,44.43,-,43.55,-
gen_VisualCloze,Generative,-,57.96,27.32,45.06,44.04,-,43.60,-
gen_Weather_Effect_Generator,Generative,-,56.67,26.68,46.23,44.05,-,43.41,-
gen_albumentations_weather,Generative,-,57.12,26.82,44.62,43.49,-,43.01,-
gen_augmenters,Generative,-,57.81,27.50,45.71,43.97,-,43.75,-
gen_automold,Generative,-,57.18,26.70,46.24,44.48,-,43.65,-
gen_cycleGAN,Generative,-,57.95,27.14,45.28,43.95,-,43.58,-
gen_cyclediffusion,Generative,-,57.86,27.35,44.74,43.81,-,43.44,-
gen_flux_kontext,Generative,-,57.64,27.49,45.39,43.54,-,43.52,-
gen_random_noise,Generative,-,59.56,28.17,46.56,46.47,-,45.19,-
gen_stargan_v2,Generative,-,56.67,26.71,44.72,43.62,-,42.93,-
gen_step1x_new,Generative,-,56.11,25.82,45.85,44.01,-,42.95,-
gen_step1x_v1p2,Generative,-,57.42,26.98,45.37,43.56,-,43.33,-
std_autoaugment,Standard Aug,-,57.65,27.43,44.75,44.29,-,43.53,-
std_cutmix,Standard Aug,-,57.82,27.32,45.01,43.06,-,43.30,-
std_mixup,Standard Aug,-,57.34,27.01,45.45,43.68,-,43.37,-
std_randaugment,Standard Aug,-,57.78,27.12,45.12,43.76,-,43.45,-
