Strategy,Type,deeplabv3plus_r50,deeplabv3plus_r50_gain,mask2former_swin-b,mask2former_swin-b_gain,pspnet_r50,pspnet_r50_gain,segformer_mit-b3,segformer_mit-b3_gain,segnext_mscan-b,segnext_mscan-b_gain
gen_Attribute_Hallucination,Generative,-,-,60.68,+0.63,47.48,+0.52,54.14,-0.35,54.22,-0.39
gen_Img2Img,Generative,46.58,-0.53,60.25,+0.20,47.60,+0.64,54.89,+0.40,55.03,+0.42
gen_augmenters,Generative,46.04,-1.08,61.06,+1.01,46.89,-0.07,55.55,+1.05,54.57,-0.03
gen_Qwen_Image_Edit,Generative,46.70,-0.42,59.42,-0.63,47.47,+0.51,54.87,+0.38,54.89,+0.28
baseline,Baseline,47.12,+0.00,60.05,+0.00,46.96,+0.00,54.49,+0.00,54.61,+0.00
gen_VisualCloze,Generative,46.44,-0.68,60.70,+0.65,46.73,-0.24,54.57,+0.08,54.47,-0.14
gen_CUT,Generative,45.61,-1.51,61.36,+1.31,47.46,+0.50,53.60,-0.89,54.63,+0.02
gen_flux_kontext,Generative,46.51,-0.60,60.27,+0.22,46.98,+0.01,54.43,-0.06,54.25,-0.35
std_cutmix,Standard Aug,46.52,-0.59,60.18,+0.13,47.46,+0.49,53.93,-0.56,54.18,-0.43
gen_step1x_v1p2,Generative,47.06,-0.06,60.33,+0.28,47.23,+0.26,53.66,-0.83,53.96,-0.64
gen_cycleGAN,Generative,45.85,-1.26,60.60,+0.55,47.19,+0.23,54.99,+0.50,53.52,-1.08
std_mixup,Standard Aug,46.27,-0.85,59.94,-0.11,47.33,+0.36,54.98,+0.49,53.30,-1.30
gen_automold,Generative,47.11,-0.00,58.15,-1.90,46.95,-0.02,54.78,+0.29,54.80,+0.19
std_randaugment,Standard Aug,46.35,-0.77,60.34,+0.29,47.26,+0.29,53.64,-0.85,54.20,-0.41
gen_cyclediffusion,Generative,46.16,-0.96,61.01,+0.96,47.15,+0.19,54.04,-0.45,53.34,-1.26
std_autoaugment,Standard Aug,47.22,+0.11,60.57,+0.52,47.04,+0.08,53.29,-1.20,53.53,-1.08
gen_Weather_Effect_Generator,Generative,46.75,-0.37,58.03,-2.02,47.33,+0.37,55.00,+0.51,54.21,-0.39
gen_SUSTechGAN,Generative,46.51,-0.60,58.84,-1.21,47.18,+0.22,54.59,+0.10,54.07,-0.53
gen_UniControl,Generative,46.56,-0.56,59.50,-0.55,46.55,-0.42,54.32,-0.17,54.16,-0.45
gen_TSIT,Generative,45.41,-1.71,60.56,+0.51,47.18,+0.21,53.71,-0.78,54.17,-0.44
gen_CNetSeg,Generative,47.03,-0.08,59.20,-0.85,47.30,+0.33,53.08,-1.41,54.33,-0.28
gen_stargan_v2,Generative,46.35,-0.76,59.21,-0.84,46.84,-0.13,54.30,-0.19,53.49,-1.12
gen_albumentations_weather,Generative,46.05,-1.07,59.00,-1.04,46.60,-0.37,54.39,-0.10,54.13,-0.48
gen_IP2P,Generative,45.86,-1.25,60.10,+0.05,46.29,-0.68,53.84,-0.65,53.12,-1.49
gen_step1x_new,Generative,45.73,-1.38,58.81,-1.24,46.87,-0.10,53.42,-1.07,54.11,-0.49
