Strategy,Type,clear_day,cloudy,dawn_dusk,foggy,night,rainy,snowy,Normal Gain,Adverse Gain,Overall Avg
baseline,Baseline Full,-0.83,2.52,2.04,7.38,1.63,3.1,6.55,0.84,4.67,3.2
gen_CUT,Generative,5.7,3.88,9.46,7.6,-4.33,7.36,15.58,4.79,6.55,6.46
gen_StyleID,Generative,2.75,2.79,9.14,5.46,5.25,3.04,8.17,2.77,5.48,5.23
gen_NST,Generative,0.52,1.64,6.22,7.79,3.39,4.29,7.26,1.08,5.68,4.45
photometric_distort,Augmentation,0.49,2.77,5.07,8.47,3.61,3.56,6.63,1.63,5.57,4.37
gen_EDICT,Generative,-0.65,1.51,6.76,8.06,3.3,2.9,7.36,0.43,5.4,4.18
std_randaugment,Standard Aug,0.17,1.57,5.43,7.89,3.47,2.37,7.99,0.87,5.43,4.13
gen_SUSTechGAN,Generative,0.35,2.32,6.31,6.82,3.17,1.99,7.59,1.34,4.89,4.08
gen_automold,Generative,1.25,2.44,2.32,7.78,3.06,3.91,6.74,1.84,5.37,3.93
gen_Attribute_Hallucination,Generative,0.25,1.97,5.28,7.94,2.59,2.21,7.3,1.11,5.01,3.93
gen_TSIT,Generative,-0.26,0.09,5.22,7.94,2.52,3.8,7.23,-0.08,5.37,3.79
gen_LANIT,Generative,-0.11,2.55,2.33,6.99,4.39,3.79,6.18,1.22,5.34,3.73
gen_UniControl,Generative,0.5,2.57,2.59,7.1,2.96,3.03,6.87,1.53,4.99,3.66
gen_flux1_kontext,Generative,0.23,1.6,2.95,8.2,3.75,2.76,5.72,0.92,5.11,3.6
gen_step1x_new,Generative,0.06,1.64,3.54,8.21,3.88,1.14,6.19,0.85,4.85,3.52
gen_stargan_v2,Generative,-0.2,0.79,7.29,6.81,2.55,0.91,5.98,0.3,4.06,3.45
std_mixup,Standard Aug,0.13,1.83,5.46,2.55,1.41,3.1,7.54,0.98,3.65,3.15
gen_Img2Img,Generative,-0.52,1.14,3.82,7.35,2.25,1.87,5.79,0.31,4.31,3.1
gen_IP2P,Generative,-0.11,1.18,1.65,7.8,2.43,3.1,5.37,0.54,4.67,3.06
gen_Weather_Effect_Generator,Generative,-0.46,1.23,4.89,4.24,2.03,2.03,6.51,0.38,3.7,2.92
std_cutmix,Standard Aug,0.16,1.33,5.25,3.02,1.9,1.34,7.25,0.74,3.38,2.89
gen_cycleGAN,Generative,-0.76,0.8,4.43,5.57,2.36,1.69,5.94,0.02,3.89,2.86
gen_augmenters,Generative,-6.0,-5.75,-1.05,16.97,-7.7,-3.52,11.54,-5.88,4.32,0.64
gen_Qwen_Image_Edit,Generative,-9.03,-11.44,-2.18,18.93,-0.11,-5.11,-6.01,-10.24,1.93,-2.14
